"","x"
"1",0.478673274861649
"2",0.279133249539882
"3",0.123792468220927
"4",0.247102519264445
"5",0.498502076137811
"6",0.3220190446591
"7",0.0904445749474689
"8",0.337021428276785
"9",0.281070751603693
"10",0.0976588550256565
"11",0.239196414710023
"12",0.247253300854936
"13",0.425199927878566
"14",0.409287305315956
"15",0.103526092600077
"16",0.275995960459113
"17",0.22926361032296
"18",0.342311450629495
"19",0.461995204677805
"20",0.0568934977054596
"21",0.365694340318441
"22",0.0803242238471285
"23",0.127749734907411
"24",0.484341800329275
"25",0.437784141860902
"26",0.186986320652068
"27",0.0414155129110441
"28",0.0328596610343084
"29",0.367411899613217
"30",0.0967320123454556
"31",0.0176468080608174
"32",0.431971520534717
"33",0.0584165672771633
"34",0.463755446719006
"35",0.166169628384523
"36",0.473370753461495
"37",0.495292131789029
"38",0.466647955821827
"39",0.106442933087237
"40",0.319780886755325
"41",0.0715693080564961
"42",0.257083867560141
"43",0.18889691401273
"44",0.262998381396756
"45",0.313713127048686
"46",0.155724803684279
"47",0.0301276141544804
"48",0.0345253688283265
"49",0.403997443150729
"50",0.485296202707104
"51",0.0800872568506747
"52",0.304587685619481
"53",0.413873631274328
"54",0.179530364926904
"55",0.15401920338627
"56",0.14999223628547
"57",0.0147132200654596
"58",0.238622969249263
"59",0.320766177843325
"60",0.0853731048991904
"61",0.178237810614519
"62",0.22341898328159
"63",0.0436690385686234
"64",0.0149177782004699
"65",0.22017283947207
"66",0.459840188967064
"67",0.168597047799267
"68",0.481268905801699
"69",0.121258234954439
"70",0.217218737467192
"71",0.149639770272188
"72",0.208625399740413
"73",0.36309477512259
"74",0.477616957155988
"75",0.115282560698688
"76",0.16554528393317
"77",0.248107766499743
"78",0.315650471602567
"79",0.219491315772757
"80",0.209661083994433
"81",0.00137375376652926
"82",0.346222184482031
"83",0.498863626853563
"84",0.182932658470236
"85",0.348222180618905
"86",0.272157811094075
"87",0.185904642683454
"88",0.322652552858926
"89",0.263257147278637
"90",0.0868846162920818
"91",0.19095088087488
"92",0.18064017535653
"93",0.416703085647896
"94",0.365399249247275
"95",0.0879504017066211
"96",0.366150165325962
"97",0.486702769529074
"98",0.0989540405571461
"99",0.0803954370785505
"100",0.481271991855465
