"","x"
"1",8738
"2",8715
"3",8216
"4",8820
"5",9115
"6",8644
"7",7747
"8",8535
"9",8357
"10",8101
"11",8707
"12",8269
"13",8640
"14",8946
"15",8091
"16",8296
"17",8666
"18",8576
"19",8997
"20",7816
"21",8782
"22",7673
"23",8021
"24",9020
"25",8854
"26",8126
"27",7438
"28",7345
"29",8949
"30",7748
"31",7512
"32",8775
"33",7911
"34",8842
"35",7954
"36",8979
"37",9035
"38",8744
"39",8280
"40",8977
"41",7658
"42",9045
"43",8146
"44",8326
"45",8414
"46",8388
"47",7538
"48",7395
"49",9048
"50",8914
"51",7644
"52",8486
"53",9032
"54",7966
"55",7960
"56",8044
"57",7955
"58",8680
"59",8798
"60",7552
"61",8048
"62",8790
"63",7814
"64",7428
"65",8427
"66",8891
"67",8666
"68",8856
"69",8229
"70",8162
"71",8366
"72",7987
"73",8585
"74",8841
"75",8185
"76",8568
"77",8553
"78",8836
"79",8205
"80",8179
"81",7506
"82",8626
"83",8925
"84",8202
"85",8707
"86",8765
"87",8070
"88",8479
"89",8238
"90",7685
"91",8017
"92",8035
"93",8623
"94",8665
"95",7676
"96",8775
"97",8942
"98",7709
"99",8037
"100",9129
