"","x"
"1",1901
"2",1054
"3",2001
"4",2015
"5",1780
"6",1032
"7",1970
"8",2417
"9",1742
"10",1987
"11",1626
"12",1568
"13",2038
"14",2199
"15",1963
"16",1692
"17",2213
"18",2277
"19",2248
"20",1447
"21",862
"22",2298
"23",1567
"24",1776
"25",2119
"26",2455
"27",1308
"28",1099
"29",1572
"30",1729
"31",2173
"32",1416
"33",2174
"34",2055
"35",1931
"36",2072
"37",2014
"38",2055
"39",1466
"40",1215
"41",1831
"42",2070
"43",1876
"44",1873
"45",1843
"46",2278
"47",1778
"48",1792
"49",1332
"50",1584
"51",1875
"52",1855
"53",1921
"54",924
"55",1690
"56",1229
"57",1662
"58",1570
"59",1828
"60",1271
"61",1569
"62",2037
"63",1796
"64",1846
"65",1807
"66",1757
"67",2237
"68",1971
"69",1274
"70",2281
"71",1381
"72",1998
"73",1746
"74",1594
"75",1925
"76",2295
"77",1790
"78",1608
"79",1874
"80",1984
"81",1187
"82",2276
"83",1446
"84",1961
"85",2174
"86",1637
"87",1831
"88",1930
"89",2203
"90",1691
"91",1356
"92",1624
"93",2140
"94",2195
"95",1877
"96",1880
"97",1648
"98",1752
"99",2267
"100",1843
