"","x"
"1",7972
"2",8815
"3",7862
"4",7856
"5",8087
"6",8836
"7",7905
"8",7452
"9",8125
"10",7888
"11",8243
"12",8302
"13",7829
"14",7677
"15",7904
"16",8175
"17",7658
"18",7588
"19",7623
"20",8427
"21",9009
"22",7571
"23",8302
"24",8094
"25",7752
"26",7412
"27",8562
"28",8770
"29",8302
"30",8146
"31",7696
"32",8454
"33",7701
"34",7813
"35",7933
"36",7803
"37",7852
"38",7819
"39",8403
"40",8658
"41",8044
"42",7801
"43",7993
"44",8002
"45",8029
"46",7595
"47",8094
"48",8078
"49",8532
"50",8295
"51",7996
"52",8012
"53",7954
"54",8939
"55",8177
"56",8641
"57",8214
"58",8301
"59",8049
"60",8604
"61",8302
"62",7831
"63",8082
"64",8022
"65",8071
"66",8112
"67",7639
"68",7898
"69",8595
"70",7588
"71",8490
"72",7878
"73",8129
"74",8280
"75",7947
"76",7579
"77",8075
"78",8266
"79",7997
"80",7887
"81",8681
"82",7596
"83",8419
"84",7912
"85",7698
"86",8236
"87",8040
"88",7937
"89",7671
"90",8177
"91",8523
"92",8244
"93",7734
"94",7677
"95",7991
"96",7991
"97",8225
"98",8113
"99",7608
"100",8026
