"","x"
"1",8060
"2",7554
"3",8023
"4",8007
"5",7602
"6",7520
"7",7842
"8",7485
"9",7688
"10",7545
"11",7554
"12",7660
"13",7501
"14",7481
"15",7843
"16",7611
"17",8904
"18",7600
"19",7449
"20",7734
"21",7562
"22",7618
"23",9052
"24",7429
"25",7669
"26",7469
"27",8119
"28",7439
"29",7457
"30",7479
"31",7465
"32",7728
"33",7692
"34",7556
"35",7992
"36",7603
"37",7573
"38",7468
"39",7612
"40",7457
"41",7737
"42",7587
"43",7525
"44",7468
"45",7628
"46",7331
"47",7721
"48",7926
"49",7445
"50",7546
"51",7486
"52",7991
"53",8024
"54",7583
"55",7749
"56",7414
"57",7634
"58",7383
"59",7524
"60",8320
"61",7575
"62",7548
"63",8195
"64",7612
"65",7554
"66",7631
"67",9497
"68",7651
"69",7734
"70",7643
"71",7635
"72",7616
"73",8017
"74",7747
"75",7483
"76",7552
"77",7756
"78",7673
"79",7648
"80",7524
"81",7626
"82",7461
"83",7738
"84",8968
"85",7333
"86",7627
"87",7646
"88",7629
"89",7363
"90",7510
"91",7690
"92",7454
"93",7439
"94",7639
"95",7441
"96",7790
"97",7738
"98",7494
"99",7387
"100",7452
