"","x"
"1",7960
"2",7989
"3",8032
"4",7477
"5",7658
"6",8528
"7",7919
"8",7241
"9",9399
"10",8998
"11",8543
"12",7243
"13",8727
"14",7281
"15",7746
"16",8095
"17",9240
"18",7307
"19",8928
"20",8027
"21",7461
"22",8496
"23",7894
"24",7921
"25",9235
"26",8972
"27",7860
"28",8118
"29",7419
"30",7582
"31",7103
"32",7756
"33",8037
"34",7909
"35",8936
"36",7194
"37",7557
"38",7433
"39",7387
"40",7990
"41",7535
"42",8355
"43",7417
"44",7079
"45",8196
"46",7514
"47",8769
"48",8643
"49",8610
"50",8051
"51",9028
"52",8232
"53",7819
"54",8552
"55",8318
"56",8774
"57",7359
"58",7544
"59",7950
"60",7068
"61",7861
"62",8763
"63",9195
"64",8219
"65",7052
"66",7602
"67",7988
"68",9222
"69",9420
"70",7917
"71",7721
"72",7647
"73",7390
"74",7390
"75",7595
"76",7267
"77",7450
"78",7515
"79",7310
"80",8487
"81",7122
"82",7848
"83",9282
"84",7919
"85",7662
"86",7612
"87",8338
"88",7367
"89",7920
"90",7984
"91",7137
"92",7655
"93",7140
"94",8150
"95",8687
"96",8342
"97",8053
"98",7942
"99",8559
"100",7582
