"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"2",1,2,0.1,0.0085,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.0085,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.1,0.0085,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"3",1,3,0.1,0.00876251032259315,0.01,0.01,0.01,0.0752502064518631,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00481938067742623,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.1,0.00481938067742623,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"4",1,4,0.1,0.00897907953220766,0.01,0.01,0.01,0.0526751445163041,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00564562406209104,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.1,0.00564562406209104,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.0085,0.07,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"5",1,5,0.1,0.00915774763976908,0.01,0.01,0.01,0.0335265259465237,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00635294803847392,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.1,0.00635294803847392,0.01,0.01,0.1,0.01,0.0085,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.00481938067742623,0.0752502064518631,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.07,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"6",1,6,0.1,0.00930514759896179,0.01,0.01,0.01,0.0268289725621055,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00695396284070498,0.01,0.1,0.01,0.01,0.1,0.07,0.01,0.1,0.01,0.01,0.07,0.00695396284070498,0.01,0.0085,0.1,0.01,0.00876251032259315,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.00564562406209104,0.0795815906441533,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.0413876135485247,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"7",1,7,0.1,0.00942675155092923,0.01,0.01,0.01,0.0216497014394486,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00746169126618307,0.01,0.1,0.01,0.0085,0.1,0.0752502064518631,0.01,0.1,0.01,0.01,0.049,0.00746169126618307,0.01,0.00481938067742623,0.1,0.01,0.00897907953220766,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.00635294803847392,0.0831549527953815,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.1,0.1,0.0500371715640262,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"8",1,8,0.1,0.00952707397445696,0.01,0.01,0.01,0.0313379817732504,0.01,0.0085,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00788865986044498,0.01,0.1,0.01,0.00481938067742623,0.1,0.0795815906441533,0.01,0.1,0.01,0.01,0.0579253509681672,0.00788865986044498,0.01,0.00564562406209104,0.1,0.01,0.00915774763976908,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.00695396284070498,0.0582084669567671,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.07,0.1,0.0576865748032484,0.01,0.0085,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"9",1,9,0.1,0.00960983928347563,0.01,0.01,0.01,0.0406158168895197,0.01,0.00481938067742623,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.00824641635394317,0.01,0.1,0.01,0.00564562406209104,0.1,0.0831549527953815,0.01,0.1,0.01,0.01,0.0652887040950606,0.00824641635394317,0.01,0.00635294803847392,0.1,0.01,0.00930514759896179,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.00746169126618307,0.0655222728373281,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.0413876135485247,0.1,0.0643468276210274,0.01,0.00481938067742623,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.07,0.01,0.01,0.01,0.0752502064518631,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
"10",1,10,0.1,0.00967812009384762,0.01,0.01,0.01,0.0491446035390825,0.01,0.00564562406209104,0.0085,0.0085,0.01,0.1,0.1,0.01,0.01,0.00854531341272026,0.01,0.1,0.01,0.00635294803847392,0.1,0.0861029519792357,0.01,0.1,0.01,0.01,0.0713634197521486,0.00854531341272026,0.01,0.00695396284070498,0.1,0.01,0.00942675155092923,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.00788865986044498,0.0715561123571625,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.01,0.0500371715640262,0.1,0.0700793973548077,0.01,0.00564562406209104,0.01,0.01,0.01,0.07,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.0413876135485247,0.01,0.01,0.01,0.0795815906441533,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01
