"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01
"2",1,2,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0085,0.01,0.01,0.01,0.01,0.0085,0.1,0.01,0.01,0.01,0.01,0.1,0.07,0.1,0.01,0.01,0.01,0.0085,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.07,0.1,0.01,0.1,0.01,0.01,0.01,0.0085,0.01,0.07,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.0085,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.07,0.01,0.01,0.01
"3",1,3,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.00865,0.01,0.01,0.01,0.01,0.00293565217004751,0.1,0.01,0.01,0.01,0.01,0.1,0.073,0.1,0.01,0.01,0.01,0.00293565217004751,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.07,0.1,0.1,0.01,0.1,0.1,0.01,0.01,0.01,0.073,0.1,0.0085,0.1,0.01,0.01,0.01,0.00293565217004751,0.01,0.073,0.1,0.01,0.01,0.07,0.01,0.01,0.01,0.00293565217004751,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0247748680246784,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.07,0.1,0.073,0.01,0.01,0.01
"4",1,4,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.008785,0.01,0.01,0.01,0.01,0.00356182183612493,0.1,0.01,0.01,0.01,0.01,0.1,0.0511,0.1,0.01,0.01,0.01,0.00356182183612493,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.073,0.1,0.1,0.01,0.07,0.1,0.01,0.01,0.01,0.0757,0.07,0.00293565217004751,0.07,0.01,0.01,0.01,0.00356182183612493,0.01,0.0757,0.1,0.01,0.01,0.049,0.01,0.01,0.01,0.00298102391008635,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.1,0.01,0.01,0.01,0.030692078883854,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.0247748680246784,0.1,0.0757,0.01,0.01,0.01
"5",1,5,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0089065,0.01,0.01,0.01,0.01,0.004140624907809,0.1,0.01,0.01,0.01,0.01,0.07,0.0190019843931746,0.1,0.01,0.01,0.01,0.004140624907809,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.0757,0.1,0.1,0.01,0.0247748680246784,0.1,0.01,0.01,0.01,0.07813,0.0247748680246784,0.00356182183612493,0.073,0.01,0.01,0.01,0.004140624907809,0.01,0.07813,0.1,0.01,0.01,0.0183605528785631,0.01,0.01,0.01,0.0055358295888669,0.01,0.01,0.07,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.073,0.1,0.01,0.01,0.01,0.0363225761013998,0.01,0.01,0.01,0.0085,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.030692078883854,0.1,0.07813,0.01,0.01,0.0085
"6",1,6,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.00901585,0.01,0.01,0.01,0.01,0.00467390047381831,0.1,0.01,0.01,0.01,0.01,0.0247748680246784,0.0244851431423359,0.1,0.01,0.01,0.01,0.00467390047381831,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.07813,0.1,0.07,0.01,0.030692078883854,0.1,0.01,0.01,0.01,0.080317,0.030692078883854,0.004140624907809,0.0757,0.01,0.01,0.01,0.00467390047381831,0.01,0.080317,0.1,0.01,0.01,0.0153541483134947,0.01,0.01,0.0085,0.00592364865779648,0.01,0.01,0.073,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0757,0.1,0.01,0.01,0.01,0.041637079627064,0.01,0.01,0.01,0.00245203317093564,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.0363225761013998,0.1,0.080317,0.01,0.01,0.00865
"7",1,7,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.009114265,0.01,0.01,0.01,0.01,0.00516385425243655,0.1,0.01,0.01,0.01,0.01,0.030692078883854,0.0299171481507701,0.1,0.01,0.01,0.01,0.00516385425243655,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.1,0.080317,0.1,0.0247748680246784,0.01,0.0363225761013998,0.1,0.01,0.01,0.01,0.0822853,0.0363225761013998,0.00467390047381831,0.07813,0.01,0.01,0.01,0.00516385425243655,0.01,0.0822853,0.1,0.01,0.01,0.00868681060419532,0.01,0.01,0.00865,0.00628381943454802,0.01,0.01,0.0757,0.0247748680246784,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07813,0.1,0.01,0.01,0.01,0.0466202481843591,0.01,0.01,0.01,0.00522465014393119,0.1,0.01,0.01,0.07,0.01,0.01,0.01,0.041637079627064,0.1,0.0822853,0.01,0.01,0.008785
"8",1,8,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.0092028385,0.01,0.01,0.01,0.01,0.00561291732625295,0.1,0.01,0.01,0.01,0.01,0.0363225761013998,0.035208653987054,0.1,0.01,0.0085,0.01,0.00561291732625295,0.01,0.01,0.01,0.073,0.01,0.01,0.01,0.01,0.1,0.0822853,0.1,0.030692078883854,0.01,0.041637079627064,0.1,0.01,0.01,0.01,0.08405677,0.041637079627064,0.00516385425243655,0.080317,0.01,0.01,0.01,0.00561291732625295,0.01,0.08405677,0.1,0.01,0.0085,0.013777288743012,0.01,0.01,0.008785,0.00661699136154348,0.01,0.01,0.07813,0.030692078883854,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.080317,0.1,0.01,0.01,0.01,0.0512671933471243,0.01,0.01,0.01,0.00563394071748904,0.1,0.01,0.01,0.0247748680246784,0.01,0.01,0.01,0.0466202481843591,0.1,0.08405677,0.01,0.01,0.0089065
"9",1,9,0.01,0.1,0.01,0.01,0.0085,0.01,0.01,0.1,0.01,0.1,0.00928255465,0.01,0.01,0.01,0.01,0.00602363887786631,0.1,0.01,0.01,0.01,0.01,0.041637079627064,0.0402971973159509,0.1,0.01,0.00865,0.01,0.00602363887786631,0.01,0.01,0.0085,0.0757,0.01,0.01,0.01,0.01,0.1,0.08405677,0.1,0.0363225761013998,0.01,0.0466202481843591,0.1,0.01,0.01,0.01,0.085651093,0.0466202481843591,0.00561291732625295,0.0822853,0.01,0.01,0.01,0.00602363887786631,0.01,0.085651093,0.1,0.01,0.00293565217004751,0.0191264788200922,0.01,0.01,0.0089065,0.00692415086045384,0.01,0.01,0.080317,0.0363225761013998,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0822853,0.1,0.01,0.01,0.01,0.0555807396971848,0.01,0.01,0.01,0.00601526867198042,0.1,0.01,0.01,0.030692078883854,0.01,0.01,0.01,0.0512671933471243,0.1,0.085651093,0.01,0.01,0.00901585
"10",1,10,0.01,0.1,0.01,0.01,0.00293565217004751,0.01,0.01,0.1,0.01,0.1,0.009354299185,0.01,0.01,0.01,0.01,0.00639860575031298,0.1,0.01,0.01,0.01,0.01,0.0466202481843591,0.0451410986537137,0.1,0.01,0.008785,0.01,0.00639860575031298,0.01,0.01,0.00865,0.07813,0.01,0.01,0.01,0.01,0.1,0.085651093,0.07,0.041637079627064,0.01,0.0512671933471243,0.1,0.01,0.01,0.01,0.0599557651,0.0512671933471243,0.00602363887786631,0.08405677,0.01,0.01,0.01,0.00639860575031298,0.01,0.0870859837,0.1,0.0085,0.00356182183612493,0.0245626352887019,0.01,0.01,0.00901585,0.00720651126881087,0.01,0.01,0.0822853,0.041637079627064,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08405677,0.1,0.01,0.01,0.01,0.0595692809321324,0.01,0.01,0.01,0.00636896664603701,0.1,0.01,0.01,0.0363225761013998,0.01,0.01,0.01,0.0555807396971848,0.1,0.0870859837,0.01,0.0085,0.009114265
