"","x"
"1",2138
"2",1795
"3",1853
"4",1863
"5",2389
"6",1761
"7",2542
"8",1835
"9",2125
"10",1887
"11",2221
"12",2144
"13",1742
"14",1881
"15",1744
"16",1880
"17",1892
"18",2798
"19",1558
"20",1993
"21",2335
"22",1721
"23",1998
"24",1831
"25",1924
"26",2633
"27",1911
"28",2178
"29",2099
"30",2813
"31",2398
"32",1711
"33",1696
"34",2612
"35",2026
"36",1752
"37",2078
"38",2234
"39",2051
"40",1978
"41",2116
"42",2169
"43",2037
"44",2646
"45",1693
"46",1845
"47",2056
"48",1760
"49",1641
"50",2785
"51",2738
"52",2608
"53",2102
"54",1968
"55",1732
"56",1568
"57",1726
"58",1798
"59",1439
"60",1797
"61",1952
"62",2026
"63",2447
"64",1733
"65",1637
"66",1722
"67",1973
"68",2381
"69",2533
"70",1908
"71",2989
"72",2039
"73",2184
"74",2719
"75",1674
"76",2795
"77",1775
"78",1842
"79",1824
"80",1605
"81",1870
"82",2964
"83",1808
"84",1927
"85",2067
"86",1571
"87",2188
"88",2195
"89",1978
"90",1920
"91",1768
"92",2462
"93",1777
"94",1643
"95",1973
"96",1813
"97",2172
"98",1806
"99",2139
"100",2064
