"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01
"2",1,2,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.0085,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.1,NA,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.07,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.07,0.1,0.1,0.1,0.01
"3",1,3,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.00865,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.07,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.1,NA,0.1,0.01,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.0220990442933026,0.07,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.073,0.1,0.1,0.1,0.01
"4",1,4,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.0073525,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.07,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0329230659879814,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.1,NA,NA,0.01,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.0382397276158043,0.0329230659879814,0.1,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.0757,0.1,0.07,0.1,0.01
"5",1,5,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.00761725,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.0329230659879814,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0382966915857695,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.07,NA,NA,0.01,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.0432046867355712,0.0382966915857695,0.1,0.01,0.01,0.01,0.01,0.073,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.0085,0.07813,0.1,0.0329230659879814,0.1,0.01
"6",1,6,0.01,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.007855525,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.0382966915857695,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.0433864275064274,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.1,0.073,NA,NA,0.01,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.0479032528859054,0.0433864275064274,0.1,0.01,0.01,0.01,0.01,0.0757,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.00390115781912382,0.080317,0.1,0.0382966915857695,0.1,0.01
"7",1,7,0.01,0.0329230659879814,0.01,0.01,0.01,0.01,0.01,0.01,0.0080699725,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.0433864275064274,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.07,0.01,0.01,0.1,0.01,0.0481725028699649,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.0085,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.1,0.01,0.1,0.0757,NA,NA,0.01,0.01,0.01,0.01,0.01,0.07,NA,0.01,0.0523183458046668,0.0481725028699649,0.1,0.01,0.01,0.01,0.01,0.07813,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.0085,0.00444433864704075,0.0822853,0.1,0.0433864275064274,0.1,0.01
"8",1,8,0.01,0.0258515315724283,0.01,0.01,0.01,0.01,0.01,0.01,0.00826297525,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.0481725028699649,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.073,0.01,0.01,0.1,0.01,0.0526462742554544,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00390115781912382,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.07,0.01,0.1,0.07813,NA,NA,0.01,0.01,0.01,0.01,0.01,0.0329230659879814,NA,0.01,0.0564428999721552,0.0526462742554544,0.07,0.01,0.01,0.01,0.01,0.080317,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.00390115781912382,0.00494587503629842,0.08405677,0.1,0.0481725028699649,0.1,0.01
"9",1,9,0.01,0.0155412362838823,0.01,0.01,0.01,0.01,0.01,0.01,0.008436677725,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.07,0.01,0.0526462742554544,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.0757,0.01,0.01,0.1,0.01,0.0568073743846226,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00444433864704075,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.0329230659879814,0.01,0.1,0.080317,NA,NA,0.01,0.01,0.01,0.01,0.01,0.0382966915857695,NA,0.01,0.0602772848607833,0.0568073743846226,0.073,0.01,0.01,0.01,0.01,0.0822853,0.0085,0.01,0.01,0.01,0.1,0.01,0.01,0.00444433864704075,0.00540752343837759,0.085651093,0.1,0.0526462742554544,0.1,0.01
"10",1,10,0.01,0.021125646175709,0.01,0.01,0.01,0.01,0.01,0.01,0.0085930099525,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.07,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.073,0.01,0.0389271237809363,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.07813,0.01,0.01,0.1,0.01,0.0606614762654784,0.01,0.01,0.01,0.1,0.01,0.1,0.01,0.01,0.00494587503629842,0.01,0.01,0.01,0.01,0.01,NA,0.01,0.0382966915857695,0.01,0.1,0.0822853,NA,NA,0.01,0.01,0.01,0.01,0.01,0.0433864275064274,NA,0.01,0.0638272830322383,0.0606614762654784,0.0757,0.01,0.01,0.01,0.01,0.08405677,0.00390115781912382,0.0085,0.01,0.01,NA,0.01,0.01,0.00494587503629842,0.00583132217816413,0.0870859837,0.1,0.0568073743846226,0.1,0.01
