"","NA.","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H"
"1",NA,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,0,1,0,1,2,1,1,1,1,0,0,1,1,0,0,1,1,2,1,1,0,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,0,1,1,0,2,1,1,1,2,2,1,2,0,1,0,2,1,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,1,0
"2",NA,2,1,0,1,1,1,1,0,2,0,1,0,1,0,1,2,0,1,1,0,1,1,0,1,1,1,2,2,1,2,1,0,1,1,2,1,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,0,1,1,0,2,1,1,2,1,1,0,2,1,1,1,1,2,0,0,1,1,0,1,1,2,2,1,1,1,1,2,1,1,2,0,0,0,1,1,1,1,0,0,0,0,0,1,0
"3",NA,1,2,0,0,0,0,0,1,2,1,1,0,0,1,1,1,1,2,0,1,1,1,0,2,1,1,1,1,0,1,2,1,2,2,0,1,2,1,0,0,2,2,1,1,1,2,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,2,1,1,1,1,2,0,1,2,1,1,1,0,1,1,2,0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,2,1,1,1,1,1,2,1
"4",NA,1,1,1,2,1,0,1,0,2,0,0,1,0,1,1,0,1,0,1,1,0,1,1,2,2,0,0,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,3,1,1,1,0,1,0,1,0,0,1,1,0,1,1,2,1,1,0,0,1,1,2,2,0,1,2,1,1,0,0,0,0,1,1,1,0,2,1,1,1,1,1,1,1,2,0,1,1,0,0,1,1,2,0,1,1
"5",NA,2,1,0,0,0,2,0,2,0,0,1,0,0,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,0,1,1,2,1,1,0,0,2,1,1,0,1,1,0,1,2,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1
"6",NA,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,2,1,1,1,1,0,1,0,2,0,2,0,2,1,0,2,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,2,1,1,0,2,1,2,0,0,0,1,1,0,1,0,1,1,1,2,1,0,1,1,0,1,1,1,0,1,0,1,2,2,0,1,0,0,2,1,2,0,1,1,1,1,2,0,1,1,0,0,2,0,0
"7",NA,0,0,1,0,1,1,0,1,2,0,1,0,1,0,1,0,1,0,0,1,0,2,0,1,1,2,0,1,1,2,1,1,1,1,2,0,0,0,1,1,2,0,0,0,1,1,1,1,2,0,1,1,1,1,2,0,1,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,2,0,1,1,1,1,1,0,1,0,1,2,1,0,0,1,0,0,1
"8",NA,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,2,0,1,0,1,0,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,1,1,0,1,0,1,0,0,2,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,2,1,1,2,0
"9",NA,0,1,1,1,0,2,1,0,2,1,1,0,2,0,2,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,1,1,0,1,2,0,0,0,1,2,0,1,0,1,0,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0
"10",NA,1,0,1,0,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,2,0,1,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1,1,0,2,2,1,1,2,2,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1
"11",NA,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,2,0,0,0,1,0,1,1,0,1,0,0,1,0,0,2,1,0,1,1,1,1,0,0,1,1,2,1,0,0,1,0,2,2,0,1,1,1,1,0,1,0,1,1,0,1,2,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0
"12",NA,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,2,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,2,0,1,0,1,0
