"","x"
"1",1763
"2",1769
"3",2218
"4",2087
"5",2062
"6",1787
"7",1879
"8",1721
"9",1882
"10",1808
"11",1708
"12",1738
"13",2205
"14",2088
"15",1628
"16",1773
"17",2069
"18",2216
"19",2180
"20",1950
"21",1979
"22",2072
"23",2179
"24",1669
"25",2232
"26",1719
"27",2054
"28",1989
"29",2051
"30",1799
"31",2129
"32",1681
"33",1645
"34",1780
"35",1650
"36",1737
"37",1946
"38",1777
"39",2005
"40",1827
"41",1996
"42",2141
"43",1659
"44",1947
"45",1644
"46",1736
"47",1747
"48",1721
"49",2099
"50",2144
"51",2088
"52",1653
"53",2012
"54",1698
"55",1769
"56",1861
"57",2370
"58",2109
"59",1717
"60",1722
"61",1961
"62",2022
"63",1992
"64",1738
"65",1709
"66",1862
"67",2143
"68",1783
"69",2022
"70",1622
"71",2281
"72",2165
"73",1700
"74",2126
"75",1697
"76",1881
"77",1747
"78",2287
"79",2329
"80",2051
"81",1613
"82",2232
"83",1607
"84",1911
"85",1661
"86",1789
"87",1768
"88",2093
"89",1666
"90",1754
"91",2316
"92",1878
"93",2254
"94",2177
"95",2225
"96",2203
"97",1955
"98",1762
"99",2170
"100",1761
