"","x"
"1",8102
"2",8092
"3",7651
"4",7786
"5",7804
"6",8085
"7",7990
"8",8152
"9",7995
"10",8059
"11",8165
"12",8135
"13",7657
"14",7784
"15",8241
"16",8099
"17",7796
"18",7655
"19",7688
"20",7922
"21",7886
"22",7801
"23",7695
"24",8200
"25",7638
"26",8151
"27",7817
"28",7877
"29",7818
"30",8071
"31",7743
"32",8189
"33",8228
"34",8088
"35",8225
"36",8134
"37",7931
"38",8093
"39",7870
"40",8045
"41",7875
"42",7728
"43",8216
"44",7920
"45",8228
"46",8136
"47",8130
"48",8152
"49",7768
"50",7725
"51",7782
"52",8214
"53",7859
"54",8174
"55",8103
"56",8008
"57",7503
"58",7759
"59",8150
"60",8144
"61",7906
"62",7850
"63",7878
"64",8136
"65",8157
"66",8013
"67",7731
"68",8087
"69",7852
"70",8251
"71",7590
"72",7707
"73",8167
"74",7744
"75",8170
"76",7991
"77",8118
"78",7581
"79",7546
"80",7814
"81",8254
"82",7642
"83",8264
"84",7960
"85",8210
"86",8083
"87",8104
"88",7784
"89",8195
"90",8113
"91",7554
"92",7989
"93",7618
"94",7694
"95",7648
"96",7671
"97",7910
"98",8114
"99",7700
"100",8109
