"","x"
"1",2206
"2",1976
"3",2077
"4",1737
"5",2052
"6",2253
"7",2026
"8",1772
"9",2153
"10",2216
"11",2100
"12",2008
"13",1775
"14",2149
"15",1761
"16",1820
"17",2071
"18",1790
"19",2107
"20",1680
"21",2160
"22",1786
"23",2144
"24",1891
"25",2103
"26",1831
"27",2189
"28",1673
"29",1950
"30",2175
"31",1955
"32",1758
"33",1817
"34",2170
"35",2006
"36",2159
"37",2151
"38",1641
"39",2028
"40",1674
"41",1976
"42",2108
"43",2147
"44",2167
"45",2133
"46",1812
"47",2274
"48",2129
"49",1762
"50",2087
"51",2140
"52",2009
"53",2083
"54",1740
"55",1988
"56",2014
"57",2157
"58",2013
"59",1726
"60",2148
"61",2239
"62",2215
"63",2083
"64",1782
"65",2275
"66",1756
"67",2024
"68",1750
"69",2260
"70",2109
"71",1756
"72",2384
"73",2118
"74",1860
"75",1879
"76",2139
"77",2024
"78",1981
"79",1617
"80",2184
"81",1931
"82",2136
"83",1723
"84",1691
"85",2012
"86",2030
"87",2208
"88",2215
"89",1993
"90",2156
"91",2251
"92",1658
"93",1741
"94",1954
"95",2073
"96",1897
"97",2182
"98",1979
"99",1699
"100",2058
