"","V1","V2","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"1",1,1,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.01,0.1,0.01
"2",1,2,0.01,0.01,0.01,0.1,0.01,0.01,0.0115421741068363,0.01,0.01,0.01,0.01,0.0115421741068363,0.01,0.01,0.01,0.0115421741068363,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.00852570290178061,0.00852570290178061,0.1,0.1,0.01,0.01,0.01,0.01,0.00852570290178061,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.0115421741068363,0.01,0.1,0.01
"3",1,3,0.01,0.01,0.01,0.0115421741068363,0.01,0.01,0.0203879566961527,0.01,0.01,0.01,0.01,0.0203879566961527,0.01,0.00852570290178061,0.01,0.011213376182884,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0115421741068363,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.0047702229363814,0.00867313261160255,0.1,0.0115421741068363,0.01,0.01,0.01,0.01,0.0047702229363814,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.0115421741068363,0.1,0.1,0.0115421741068363,0.01,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.011213376182884,0.00852570290178061,0.1,0.01
"4",1,4,0.01,0.01,0.01,0.0203879566961527,0.01,0.01,0.0283491610265374,0.01,0.01,0.01,0.01,0.0283491610265374,0.01,0.0047702229363814,0.01,0.0168677508107898,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.0115421741068363,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0203879566961527,0.1,0.01,0.1,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.00523946251351316,0.00880581935044229,0.1,0.011213376182884,0.01,0.01,0.01,0.01,0.00523946251351316,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.1,0.01,0.01,0.01,0.011213376182884,0.1,0.1,0.011213376182884,0.01,0.01,0.1,0.00852570290178061,0.01,0.00852570290178061,0.1,0.01,0.01,0.0168677508107898,0.00867313261160255,0.1,0.01
"5",1,5,0.01,0.01,0.01,0.0283491610265374,0.01,0.01,0.0355142449238837,0.01,0.01,0.01,0.01,0.0355142449238837,0.01,0.00523946251351316,0.01,0.0225693026491281,0.01,0.01,0.01,0.01,0.01,0.00852570290178061,0.01,0.01,0.1,0.011213376182884,0.1,0.01,0.01,0.01,0.0115421741068363,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0283491610265374,0.1,0.01,0.1,0.01,0.01,0.01,0.0115421741068363,0.01,0.01,0.01,0.01,0.00567198837748547,0.00892523741539806,0.1,0.0168677508107898,0.01,0.01,0.01,0.01,0.00567198837748547,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.01,0.0115421741068363,0.1,0.01,0.1,0.01,0.01,0.01,0.0168677508107898,0.1,0.1,0.0168677508107898,0.01,0.01,0.1,0.00867313261160255,0.01,0.0047702229363814,0.1,0.01,0.01,0.0225693026491281,0.00880581935044229,0.1,0.01
"6",1,6,0.01,0.01,0.01,0.0355142449238837,0.01,0.01,0.0419628204314953,0.01,0.01,0.01,0.01,0.0419628204314953,0.01,0.00567198837748547,0.01,0.0281969171889433,0.01,0.00852570290178061,0.01,0.01,0.01,0.0047702229363814,0.01,0.01,0.1,0.0168677508107898,0.1,0.01,0.01,0.01,0.0203879566961527,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0355142449238837,0.1,0.01,0.1,0.01,0.01,0.01,0.011213376182884,0.01,0.01,0.01,0.01,0.00606953195314906,0.00903271367385826,0.1,0.0225693026491281,0.01,0.01,0.01,0.01,0.00606953195314906,0.01,0.01,0.1,0.0115421741068363,0.01,0.01,0.01,0.01,0.0203879566961527,0.1,0.01,0.1,0.01,0.01,0.01,0.0225693026491281,0.1,0.1,0.0225693026491281,0.01,0.01,0.1,0.00880581935044229,0.01,0.00523946251351316,0.1,0.01,0.01,0.0281969171889433,0.00892523741539806,0.1,0.01
"7",1,7,0.01,0.01,0.01,0.0419628204314953,0.01,0.01,0.0477665383883458,0.01,0.01,0.01,0.01,0.0477665383883458,0.01,0.00606953195314906,0.01,0.0336637067618786,0.01,0.0047702229363814,0.01,0.01,0.01,0.00523946251351316,0.01,0.01,0.1,0.0225693026491281,0.1,0.01,0.01,0.01,0.0283491610265374,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0419628204314953,0.1,0.01,0.1,0.01,0.01,0.01,0.0168677508107898,0.01,0.01,0.01,0.01,0.00643402011269798,0.00912944230647243,0.1,0.0281969171889433,0.01,0.01,0.01,0.01,0.00643402011269798,0.01,0.01,0.1,0.0203879566961527,0.01,0.01,0.01,0.01,0.0283491610265374,0.1,0.01,0.1,0.01,0.01,0.01,0.0281969171889433,0.1,0.1,0.0281969171889433,0.01,0.01,0.1,0.00892523741539806,0.01,0.00567198837748547,0.1,0.01,0.01,0.0336637067618786,0.00760939225315401,0.1,0.01
"8",1,8,0.01,0.01,0.01,0.0477665383883458,0.00852570290178061,0.01,0.0529898845495112,0.01,0.01,0.01,0.01,0.0529898845495112,0.01,0.00643402011269798,0.01,0.0389093859320728,0.01,0.00523946251351316,0.01,0.01,0.01,0.00567198837748547,0.01,0.01,0.0115421741068363,0.0281969171889433,0.1,0.01,0.01,0.01,0.0355142449238837,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.01,0.01,0.0477665383883458,0.0115421741068363,0.01,0.1,0.01,0.01,0.01,0.0225693026491281,0.01,0.01,0.01,0.01,0.00676748559886788,0.00921649807582519,0.1,0.00341342572667169,0.01,0.01,0.01,0.01,0.00676748559886788,0.01,0.01,0.1,0.0283491610265374,0.01,0.01,0.01,0.01,0.0355142449238837,0.1,0.01,0.1,0.00852570290178061,0.01,0.01,0.0336637067618786,0.1,0.1,0.00341342572667169,0.01,0.01,0.1,0.00903271367385826,0.01,0.00606953195314906,0.1,0.01,0.01,0.0389093859320728,0.00431664916531124,0.1,0.01
"9",1,9,0.01,0.01,0.01,0.0529898845495112,0.0047702229363814,0.01,0.0576908960945601,0.01,0.01,0.01,0.01,0.0576908960945601,0.01,0.00571525808268426,0.01,0.043894207714435,0.01,0.00567198837748547,0.01,0.01,0.01,0.00606953195314906,0.01,0.01,0.0203879566961527,0.0336637067618786,0.1,0.01,0.01,0.01,0.0419628204314953,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.00852570290178061,0.01,0.0529898845495112,0.011213376182884,0.01,0.1,0.01,0.01,0.01,0.0281969171889433,0.01,0.01,0.01,0.01,0.00707199971190725,0.00929484826824267,0.1,0.00598974288079284,0.01,0.01,0.01,0.01,0.00707199971190725,0.01,0.01,0.1,0.0355142449238837,0.01,0.01,0.01,0.01,0.0419628204314953,0.1,0.01,0.1,0.00867313261160255,0.01,0.01,0.0389093859320728,0.1,0.1,0.0118154117383659,0.01,0.01,0.1,0.00912944230647243,0.01,0.00643402011269798,0.1,0.01,0.01,0.043894207714435,0.00479784659640758,0.1,0.01
"10",1,10,0.01,0.01,0.01,0.0576908960945601,0.00523946251351316,0.01,0.0619218064851041,0.01,0.01,0.01,0.01,0.0619218064851041,0.01,0.0034456195133625,0.00852570290178061,0.0485941528472028,0.01,0.00606953195314906,0.01,0.01,0.01,0.00643402011269798,0.01,0.00852570290178061,0.0283491610265374,0.0389093859320728,0.0115421741068363,0.01,0.01,0.01,0.0477665383883458,0.01,0.01,0.01,0.01,0.01,0.01,0.0115421741068363,0.01,0.01,0.01,0.01,0.1,0.1,0.01,0.00867313261160255,0.01,0.0576908960945601,0.0168677508107898,0.01,0.1,0.01,0.01,0.01,0.0336637067618786,0.01,0.01,0.01,0.01,0.00734962250578671,0.0093653634414184,0.1,0.0108982666487839,0.01,0.01,0.01,0.01,0.00734962250578671,0.01,0.01,0.1,0.0419628204314953,0.01,0.01,0.01,0.01,0.0477665383883458,0.1,0.01,0.1,0.00880581935044229,0.01,0.01,0.043894207714435,0.1,0.1,0.0192684776734181,0.01,0.01,0.1,0.00921649807582519,0.01,0.00676748559886788,0.1,0.01,0.01,0.0485941528472028,0.00524748043834506,0.1,0.01
