"","x"
"1",2321
"2",772
"3",1156
"4",1800
"5",914
"6",2034
"7",2181
"8",1679
"9",2191
"10",1856
"11",1885
"12",1619
"13",1753
"14",2096
"15",1984
"16",2220
"17",1785
"18",2034
"19",1038
"20",1940
"21",1910
"22",1737
"23",1949
"24",2011
"25",2028
"26",2226
"27",2146
"28",1666
"29",1421
"30",2124
"31",2250
"32",1659
"33",1621
"34",1116
"35",1892
"36",1531
"37",1855
"38",1727
"39",1961
"40",1873
"41",2195
"42",1650
"43",827
"44",1929
"45",1598
"46",1641
"47",1794
"48",2028
"49",1717
"50",1745
"51",1195
"52",1403
"53",1086
"54",891
"55",2062
"56",1979
"57",2094
"58",938
"59",1900
"60",2078
"61",2139
"62",2116
"63",2339
"64",2043
"65",794
"66",2319
"67",1879
"68",1966
"69",857
"70",1924
"71",1920
"72",1539
"73",1964
"74",2244
"75",1719
"76",2490
"77",1922
"78",1991
"79",1832
"80",2064
"81",1719
"82",1802
"83",2130
"84",1362
"85",1948
"86",1992
"87",1875
"88",1806
"89",1783
"90",1766
"91",1758
"92",1333
"93",1952
"94",2046
"95",1240
"96",2062
"97",1208
"98",1773
"99",1688
"100",1886
