"","x"
"1",7714
"2",7966
"3",7954
"4",8066
"5",7951
"6",7671
"7",7611
"8",7684
"9",8192
"10",8033
"11",8117
"12",7812
"13",7648
"14",7603
"15",8131
"16",7816
"17",7981
"18",8109
"19",8032
"20",7783
"21",7799
"22",7754
"23",7659
"24",7864
"25",8137
"26",7822
"27",7719
"28",7645
"29",7642
"30",7594
"31",7700
"32",8071
"33",7877
"34",7641
"35",7949
"36",7788
"37",8076
"38",7956
"39",7808
"40",8100
"41",8008
"42",7795
"43",8031
"44",7738
"45",8256
"46",8071
"47",8206
"48",7771
"49",7989
"50",7830
"51",8069
"52",8140
"53",7720
"54",7687
"55",7777
"56",7939
"57",8072
"58",8032
"59",7744
"60",7782
"61",8083
"62",8111
"63",8053
"64",8153
"65",7764
"66",8082
"67",7732
"68",7831
"69",7467
"70",7649
"71",8099
"72",7833
"73",8047
"74",7954
"75",7683
"76",7713
"77",7826
"78",8066
"79",7731
"80",7792
"81",8104
"82",7731
"83",7745
"84",7561
"85",7706
"86",7711
"87",7748
"88",7722
"89",7734
"90",7826
"91",7622
"92",7673
"93",7863
"94",8045
"95",7778
"96",8130
"97",7814
"98",7798
"99",7823
"100",7832
