"","x"
"1",7468
"2",7241
"3",7283
"4",7246
"5",7342
"6",7530
"7",7315
"8",7266
"9",7550
"10",7256
"11",7448
"12",7561
"13",7318
"14",7639
"15",7207
"16",7277
"17",7284
"18",7254
"19",7305
"20",7462
"21",7224
"22",7406
"23",7155
"24",7197
"25",7270
"26",7594
"27",7307
"28",7688
"29",7150
"30",7581
"31",7132
"32",7201
"33",7493
"34",7277
"35",7333
"36",7315
"37",7366
"38",7579
"39",7384
"40",7338
"41",7297
"42",7215
"43",7318
"44",7449
"45",7390
"46",7474
"47",7260
"48",7179
"49",7322
"50",7477
"51",7299
"52",7635
"53",7361
"54",7648
"55",7119
"56",7302
"57",7126
"58",7047
"59",7315
"60",7349
"61",7683
"62",7261
"63",7228
"64",7261
"65",7233
"66",7252
"67",7255
"68",7649
"69",7331
"70",7254
"71",7752
"72",7360
"73",7638
"74",7452
"75",7332
"76",7325
"77",7346
"78",7206
"79",7128
"80",7675
"81",7492
"82",7387
"83",7299
"84",7246
"85",7171
"86",7647
"87",7521
"88",7234
"89",7713
"90",7308
"91",7296
"92",7136
"93",7562
"94",7269
"95",7179
"96",7067
"97",7241
"98",7355
"99",7125
"100",7535
