"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,2,5,5,5,1,2,4,5,2,3,6,3,3,5,4,1,2,4,4,5,5,2,8,1,2,5,2,2,5,2,3,0,2,3,4,4,2,5,5,0,3,6,6,6,2,3,3,5,5,3
"2",NA,2,3,5,4,3,0,6,2,2,6,3,0,5,7,2,4,7,1,3,3,6,3,7,4,4,5,2,1,3,3,5,2,4,7,4,2,4,4,3,3,4,2,6,1,3,6,3,8,7,1
"3",NA,4,9,7,2,2,1,2,3,4,5,3,5,4,9,3,1,1,5,3,2,7,4,2,2,3,8,2,3,5,4,3,1,9,7,6,2,3,4,5,1,7,8,6,5,2,5,5,5,6,1
"4",NA,3,3,4,3,4,3,2,7,6,4,4,5,2,4,4,5,4,3,1,5,4,2,4,4,3,5,2,0,4,6,2,0,4,4,3,9,2,4,1,2,3,3,7,4,3,4,2,2,5,4
"5",NA,6,2,4,10,1,5,6,4,2,7,4,4,2,6,7,4,2,6,4,4,4,3,1,3,8,6,1,5,3,2,3,4,3,2,5,2,2,7,2,1,1,2,3,3,1,5,4,2,3,1
"6",NA,5,0,5,1,3,5,9,4,2,5,6,4,5,4,5,6,1,7,3,2,4,1,3,5,3,4,2,2,5,4,4,3,4,5,5,6,4,4,1,3,0,3,6,1,2,3,3,3,3,2
"7",NA,3,1,2,3,7,3,3,3,5,2,2,3,1,3,3,3,1,4,2,2,3,5,5,3,6,5,3,2,5,1,6,4,6,4,2,4,1,9,3,5,3,1,3,7,3,4,3,3,5,2
"8",NA,6,6,4,2,1,4,2,4,3,2,4,3,3,4,1,2,1,6,3,1,7,5,0,3,3,3,4,0,8,1,3,1,4,4,4,5,2,5,5,5,4,3,5,5,3,0,3,2,3,0
"9",NA,4,4,4,0,4,2,5,4,3,7,4,1,1,6,1,3,0,2,3,4,6,9,5,5,3,2,0,2,2,2,4,4,4,2,2,5,2,2,5,3,2,4,4,1,4,3,1,2,4,2
"10",NA,2,3,5,3,3,2,1,5,5,8,5,5,1,4,2,2,3,8,3,5,2,1,5,2,3,4,1,4,7,4,2,2,5,2,2,3,3,2,5,3,7,3,3,7,3,1,4,7,5,2
"11",NA,3,1,3,2,5,2,3,2,3,6,4,1,3,3,3,1,2,1,5,3,6,3,6,3,4,7,3,2,4,2,4,1,3,3,3,2,4,3,3,0,0,3,2,5,0,0,2,1,3,3
"12",NA,4,0,2,6,5,3,4,2,9,1,1,1,4,4,4,2,2,7,5,7,3,3,7,2,9,2,2,2,2,1,3,3,4,4,2,1,1,6,3,0,3,5,1,1,0,5,3,4,5,3
"13",NA,4,4,4,8,1,5,2,2,5,5,4,2,0,2,5,3,1,2,2,7,1,6,2,3,2,1,2,4,5,2,6,1,5,7,8,4,2,3,3,2,1,3,0,2,3,2,9,4,6,5
"14",NA,4,4,3,7,2,6,5,4,1,5,3,2,0,3,5,3,2,5,1,2,3,3,6,4,4,0,3,1,1,3,3,2,7,2,3,5,2,4,4,3,4,2,3,4,2,5,0,2,2,5
"15",NA,3,2,4,0,2,3,2,3,8,3,2,2,2,2,3,2,2,8,2,4,5,2,2,2,6,6,2,2,2,1,5,4,1,5,0,5,5,3,3,1,3,5,3,3,4,5,5,3,4,1
"16",NA,2,5,0,5,2,5,2,3,1,4,4,5,1,5,3,2,5,4,3,7,2,3,1,3,5,1,1,1,2,2,1,1,6,1,3,3,2,6,3,0,1,6,6,4,2,2,1,6,3,7
"17",NA,5,1,4,2,3,3,3,6,3,4,4,3,3,4,4,2,2,6,1,3,5,5,3,2,5,5,4,1,5,1,3,3,1,8,5,2,4,8,2,5,5,2,4,4,3,5,2,2,3,1
"18",NA,8,4,5,4,1,2,5,3,3,1,5,2,2,2,3,3,0,7,3,3,2,5,4,1,5,4,0,2,5,3,3,2,1,8,5,4,4,6,2,5,7,4,3,3,2,5,3,2,5,0
"19",NA,4,6,6,7,3,3,2,10,3,1,4,3,1,1,3,3,5,5,4,5,5,5,3,2,7,8,4,3,5,7,6,3,6,13,4,3,7,13,7,11,7,6,5,5,2,9,5,2,4,6
"20",NA,4,6,6,5,7,1,7,14,7,6,6,2,4,4,3,6,3,14,4,8,8,10,7,6,5,6,3,4,6,9,7,3,10,10,3,7,6,9,5,10,5,9,6,2,2,9,4,4,6,5
"21",NA,10,7,5,6,5,3,6,11,7,2,8,6,4,6,5,6,6,10,10,6,12,10,9,5,10,16,6,5,8,8,8,4,7,14,10,11,6,9,10,9,7,6,10,10,4,6,7,7,8,4
"22",NA,11,6,8,8,3,4,10,9,9,7,11,5,7,3,4,8,6,15,12,9,11,12,10,4,10,15,9,4,8,9,9,2,11,8,14,16,11,10,8,9,10,6,12,10,3,14,8,10,9,7
"23",NA,16,12,6,7,9,1,9,11,5,6,17,4,5,9,9,9,6,14,17,9,14,10,12,6,10,15,8,13,17,10,11,3,13,19,10,14,8,14,16,15,12,8,12,9,6,13,13,5,9,5
"24",NA,11,10,9,6,10,2,15,12,7,14,19,7,3,13,12,11,9,17,19,13,14,13,13,9,16,19,9,9,12,17,12,4,12,16,19,21,8,14,13,12,15,6,13,10,8,19,10,10,15,9
