"","x"
"1",4
"2",0
"3",0
"4",0
"5",3
"6",1
"7",3
"8",5
"9",1
"10",4
"11",0
"12",1
"13",4
"14",6
"15",1
"16",5
"17",3
"18",3
"19",4
"20",6
"21",5
"22",7
"23",2
"24",0
"25",0
"26",1
"27",0
"28",4
"29",4
"30",2
"31",4
"32",1
"33",6
"34",1
"35",3
"36",6
"37",0
"38",2
"39",1
"40",6
"41",3
"42",6
"43",7
"44",6
"45",4
"46",4
"47",6
"48",6
"49",4
"50",0
"51",2
"52",1
"53",4
"54",5
"55",7
"56",2
"57",1
"58",0
"59",3
"60",5
"61",2
"62",2
"63",6
"64",3
"65",5
"66",4
"67",6
"68",4
"69",4
"70",6
"71",1
"72",5
"73",5
"74",7
"75",2
"76",4
"77",1
"78",2
"79",6
"80",5
"81",5
"82",3
"83",0
"84",3
"85",6
"86",6
"87",5
"88",5
"89",5
"90",4
"91",5
"92",7
"93",7
"94",1
"95",3
"96",4
"97",2
"98",6
"99",3
"100",6
