"","x"
"1",2096
"2",3608
"3",3769
"4",3774
"5",2700
"6",3456
"7",2823
"8",2331
"9",3548
"10",2686
"11",3571
"12",3476
"13",2707
"14",2282
"15",3321
"16",2584
"17",2753
"18",2198
"19",2578
"20",1693
"21",2070
"22",2035
"23",3030
"24",3279
"25",3682
"26",3248
"27",3176
"28",2649
"29",2125
"30",2821
"31",2162
"32",3186
"33",2215
"34",3296
"35",2907
"36",1932
"37",3613
"38",2448
"39",3402
"40",2329
"41",2915
"42",2369
"43",2266
"44",2254
"45",2112
"46",2800
"47",2152
"48",1970
"49",2521
"50",3671
"51",3144
"52",3372
"53",2695
"54",2396
"55",2149
"56",3062
"57",2752
"58",3281
"59",2691
"60",2734
"61",3068
"62",2894
"63",2156
"64",2951
"65",2203
"66",2560
"67",1987
"68",2557
"69",2126
"70",1775
"71",3205
"72",2649
"73",2713
"74",2119
"75",2313
"76",2164
"77",2876
"78",3069
"79",2286
"80",1912
"81",1916
"82",2977
"83",3684
"84",2660
"85",2137
"86",2133
"87",1875
"88",2214
"89",2503
"90",2032
"91",2386
"92",2032
"93",2039
"94",3370
"95",2230
"96",2392
"97",3054
"98",2356
"99",2721
"100",2189
