"","x"
"1",2662
"2",3549
"3",2940
"4",2724
"5",3009
"6",2662
"7",3410
"8",3045
"9",2725
"10",3065
"11",3107
"12",3325
"13",3263
"14",2794
"15",2909
"16",2785
"17",3706
"18",3453
"19",2723
"20",3414
"21",2827
"22",3435
"23",2873
"24",3315
"25",2738
"26",2887
"27",3275
"28",3157
"29",2807
"30",3620
"31",3119
"32",3083
"33",2749
"34",2872
"35",2811
"36",2971
"37",2721
"38",3622
"39",3434
"40",2594
"41",2908
"42",3395
"43",2711
"44",2740
"45",3334
"46",2816
"47",2834
"48",3172
"49",3467
"50",3001
"51",2692
"52",3024
"53",3374
"54",2772
"55",2756
"56",3148
"57",3539
"58",2721
"59",2960
"60",2901
"61",2781
"62",3571
"63",2714
"64",2910
"65",3404
"66",3427
"67",2791
"68",2619
"69",3140
"70",3539
"71",3434
"72",3488
"73",3335
"74",2749
"75",3483
"76",3374
"77",2806
"78",3491
"79",2987
"80",2754
"81",3265
"82",3006
"83",2934
"84",2722
"85",2760
"86",3107
"87",2846
"88",2962
"89",3580
"90",2887
"91",2870
"92",2728
"93",3461
"94",3360
"95",3007
"96",3498
"97",3098
"98",2722
"99",2780
"100",2904
