"","x"
"1",7208
"2",6321
"3",6936
"4",7142
"5",6857
"6",7209
"7",6463
"8",6829
"9",7145
"10",6809
"11",6768
"12",6543
"13",6607
"14",7076
"15",6963
"16",7083
"17",6165
"18",6418
"19",7144
"20",6453
"21",7049
"22",6437
"23",6996
"24",6559
"25",7130
"26",6982
"27",6599
"28",6721
"29",7062
"30",6252
"31",6761
"32",6783
"33",7118
"34",7000
"35",7056
"36",6899
"37",7150
"38",6247
"39",6438
"40",7267
"41",6964
"42",6473
"43",7160
"44",7128
"45",6536
"46",7051
"47",7041
"48",6704
"49",6405
"50",6866
"51",7179
"52",6853
"53",6498
"54",7100
"55",7114
"56",6724
"57",6323
"58",7147
"59",6913
"60",6966
"61",7093
"62",6301
"63",7159
"64",6957
"65",6460
"66",6446
"67",7083
"68",7251
"69",6732
"70",6333
"71",6443
"72",6381
"73",6533
"74",7123
"75",6384
"76",6498
"77",7064
"78",6380
"79",6888
"80",7118
"81",6610
"82",6869
"83",6941
"84",7149
"85",7111
"86",6764
"87",7027
"88",6918
"89",6288
"90",6980
"91",7006
"92",7146
"93",6404
"94",6510
"95",6865
"96",6373
"97",6780
"98",7148
"99",7088
"100",6967
