"","x"
"1",3402
"2",3021
"3",3225
"4",2796
"5",3437
"6",3469
"7",2971
"8",3326
"9",3551
"10",2778
"11",3319
"12",2863
"13",2906
"14",3153
"15",3281
"16",3021
"17",3362
"18",3468
"19",2757
"20",3394
"21",2963
"22",3368
"23",3257
"24",3422
"25",3277
"26",3362
"27",2827
"28",3331
"29",3457
"30",3015
"31",3261
"32",3462
"33",3336
"34",3462
"35",3060
"36",3550
"37",3443
"38",2931
"39",3445
"40",3281
"41",3458
"42",2979
"43",2858
"44",2941
"45",3040
"46",3500
"47",3425
"48",2946
"49",3408
"50",3366
"51",3075
"52",3390
"53",3303
"54",3538
"55",3329
"56",2892
"57",3491
"58",3349
"59",3367
"60",3409
"61",3405
"62",3487
"63",3326
"64",3421
"65",2877
"66",3047
"67",2945
"68",2931
"69",3597
"70",2979
"71",3360
"72",3426
"73",2848
"74",3260
"75",2757
"76",3224
"77",3513
"78",2796
"79",2987
"80",3493
"81",3406
"82",2967
"83",3350
"84",3255
"85",3434
"86",2999
"87",3400
"88",3022
"89",3554
"90",3382
"91",3349
"92",2737
"93",2870
"94",3310
"95",2977
"96",3402
"97",3461
"98",2898
"99",2808
"100",2942
