"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,3,3,0,1,6,7,2,1,4,5,3,4,4,2,5,3,2,2,8,2
"2",NA,2,5,1,2,4,7,1,3,4,1,2,4,4,1,3,5,6,2,0,3
"3",NA,1,7,3,3,6,6,1,3,4,4,1,4,1,2,3,0,0,2,2,2
"4",NA,6,6,0,2,3,6,2,4,8,4,1,1,4,3,1,3,3,4,1,2
"5",NA,5,9,5,5,5,3,1,1,7,1,2,6,5,2,6,4,6,3,1,5
"6",NA,2,2,0,3,6,9,2,3,3,4,7,4,4,3,1,4,2,5,1,4
"7",NA,2,0,3,4,4,5,1,2,1,2,1,5,3,4,3,2,6,1,3,2
"8",NA,4,5,2,0,1,3,1,4,3,4,2,5,3,1,2,2,6,2,0,5
"9",NA,2,3,2,4,2,3,3,2,3,2,3,3,2,4,5,1,4,1,3,5
"10",NA,6,5,2,4,2,4,2,3,2,1,4,2,1,3,6,2,2,2,4,2
"11",NA,4,1,4,3,1,3,4,3,3,4,9,5,5,4,8,3,3,0,1,9
"12",NA,2,6,4,1,2,3,2,4,8,4,3,4,5,2,4,5,3,1,2,2
"13",NA,5,2,0,5,5,5,3,3,7,4,3,6,6,3,3,3,2,2,1,4
"14",NA,3,5,1,1,5,4,2,3,2,3,2,2,2,3,3,5,2,3,3,2
